Project name, F1, Precision, Recall
youth5201314__banner, 0.734536, 0.740260, 0.728900
MinecraftForge__MinecraftForge, 0.614554, 0.642126, 0.589253
klinker24__Talon-for-Twitter, 0.682374, 0.694157, 0.670984
socketio__socket.io-client-java, 0.279433, 0.305426, 0.257516
btraceio__btrace, 0.666182, 0.692215, 0.642036
square__flow, 0.497573, 0.508055, 0.487515
vinc3m1__RoundedImageView, 0.851550, 0.844660, 0.858553
Ramotion__paper-onboarding-android, 0.693694, 0.733333, 0.658120
mission-peace__interview, 0.536722, 0.575168, 0.503094
didi__VirtualAPK, 0.722695, 0.754834, 0.693182
sfsheng0322__StickyHeaderListView, 0.755048, 0.766488, 0.743945
wonderkiln__BlurKit-Android, 0.709677, 0.743243, 0.679012
tiann__understand-plugin-framework, 0.652427, 0.680162, 0.626866
frogermcs__LikeAnimation, 0.742857, 0.738636, 0.747126
apache__cassandra, 0.504450, 0.546353, 0.468516
wasabeef__richeditor-android, 0.821002, 0.822967, 0.819048
LyndonChin__AndroidRubberIndicator, 0.756522, 0.743590, 0.769912
objectbox__objectbox-java, 0.615747, 0.655914, 0.580216
requery__requery, 0.618443, 0.627254, 0.609877
hibernate__hibernate-orm, 0.685258, 0.744760, 0.634560
apache__hbase, 0.643215, 0.696461, 0.597532
redsolution__xabber-android, 0.716003, 0.736436, 0.696674
kanytu__android-parallax-recyclerview, 0.572581, 0.624633, 0.528536
Yalantis__Side-Menu.Android, 0.687225, 0.696429, 0.678261
JakeWharton__ActionBarSherlock, 0.833114, 0.839612, 0.826717
mybatis__spring-boot-starter, 0.610374, 0.691257, 0.546436
openzipkin__zipkin, 0.417515, 0.463180, 0.380047
cjlin1__libsvm, 0.504202, 0.571429, 0.451128
react-native-community__react-native-video, 0.658076, 0.687612, 0.630972
wequick__Small, 0.705222, 0.716039, 0.694728
apache__jmeter, 0.619707, 0.663184, 0.581579
yigit__android-priority-jobqueue, 0.589276, 0.633756, 0.550630
EnterpriseQualityCoding__FizzBuzzEnterpriseEdition, 0.379221, 0.392473, 0.366834
junit-team__junit4, 0.412166, 0.476998, 0.362849
zzz40500__android-shapeLoadingView, 0.774194, 0.744828, 0.805970
square__sqlbrite, 0.425627, 0.475124, 0.385469
w446108264__XhsEmoticonsKeyboard, 0.687285, 0.711744, 0.664452
alexvasilkov__GestureViews, 0.659150, 0.688758, 0.631982
Tencent__VasSonic, 0.674930, 0.712247, 0.641328
romainguy__ViewServer, 0.619289, 0.580952, 0.663043
wildfly__wildfly, 0.558043, 0.591742, 0.527975
